StockCode,Description,TotalRevenue,QuantitySold,InvoiceCount,CustomerCount,AveragePrice,PopularityScore
20725,LUNCH BAG RED RETROSPOT,18582.0,11224,1396,587,1.6669611307420495,819452
22111,SCOTTIE DOG HOT WATER BOTTLE,18214.65,3681,1240,663,4.948883572567784,822120
21181,PLEASE ONE PERSON METAL SIGN,17828.100000000002,8495,1176,536,2.098781512605042,630336
22112,CHOCOLATE HOT WATER BOTTLE,17728.34,3582,1171,583,4.953153456998314,682693
22178,VICTORIAN GLASS HANGING T-LIGHT,17700.97,13360,1179,549,1.3511813643926789,647271
21175,GIN + TONIC DIET METAL SIGN,17574.780000000002,7663,1233,524,2.280940514469453,646092
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,16793.270000000004,5693,1000,426,2.9568379446640316,426000
21731,RED TOADSTOOL LED NIGHT LIGHT,16714.260000000002,10106,914,400,1.6623440860215053,365600
82486,WOOD S/3 CABINET ANT WHITE FINISH,16501.15,2077,823,303,8.091317365269461,249369
84978,HANGING HEART JAR T-LIGHT HOLDER,16371.119999999999,13662,1031,519,1.2363349282296652,535089
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16239.620000000003,5478,991,624,2.9782868525896418,618384
22624,IVORY KITCHEN SCALES,16058.49,1878,989,562,8.571333333333333,555818
21929,JUMBO BAG PINK VINTAGE PAISLEY,15960.97,8011,1083,483,2.0088817598533457,523089
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15867.77,3917,1102,587,4.0700718778077265,646874
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15765.230000000001,2583,912,345,6.27614549402823,314640
21621,VINTAGE UNION JACK BUNTING,15647.08,1840,831,501,8.508448687350835,416331
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,15494.73,3123,1044,608,4.981219047619048,634752
22139,RETROSPOT TEA SET CERAMIC 11 PC ,15481.710000000001,3117,1007,614,4.97308300395257,618298
22386,JUMBO BAG PINK POLKADOT,15405.16,7592,927,406,2.0332659574468086,376362
85066,CREAM SWEETHEART MINI CHEST,15397.86,1207,669,423,12.76549107142857,282987
22189,CREAM HEART CARD HOLDER,15215.02,3892,976,505,3.9373190621814476,492880
84991,60 TEATIME FAIRY CAKE CASES,15152.0,27580,1643,798,0.5519467455621302,1311114
84836,ZINC METAL HEART DECORATION,15062.23,12056,1165,647,1.2524117647058823,753755
82484,WOOD BLACK BOARD ANT WHITE FINISH,14961.36,2124,820,418,7.1443414634146345,342760
22666,RECIPE BOX PANTRY YELLOW DESIGN,14886.470000000001,5021,1197,679,2.9744756399669696,812763
22727,ALARM CLOCK BAKELIKE RED ,14651.25,3896,1021,460,3.7697299903567987,469660
22699,ROSES REGENCY TEACUP AND SAUCER ,14642.950000000003,4957,896,482,2.9759471365638768,431872
23298,SPOTTY BUNTING,14543.1,2938,820,523,4.95,428860
20972,PINK CREAM FELT CRAFT TRINKET BOX ,14118.72,11250,1146,555,1.2632327586206895,636030
22556,PLASTERS IN TIN CIRCUS PARADE ,14090.36,8540,1055,584,1.6557302325581393,616120
22551,PLASTERS IN TIN SPACEBOY,14069.550000000001,8515,1096,605,1.6572072072072073,663080
20725,LUNCH BAG RED SPOTTY,14003.55,8519,948,478,1.6437369519832983,453144
21843,RED RETROSPOT CAKE STAND,13990.05,1279,764,445,10.943464052287581,339980
22629,SPACEBOY LUNCH BOX ,13947.99,7179,948,445,1.9540041710114702,421860
85152,HAND OVER THE CHOCOLATE   SIGN ,13750.79,6530,1133,466,2.110043668122271,527978
22960,JAM MAKING SET WITH JARS,13664.88,3196,691,494,4.300375722543353,341354
21977,PACK OF 60 PINK PAISLEY CAKE CASES,13656.75,24856,1463,750,0.55408876933423,1097250
22554,PLASTERS IN TIN WOODLAND ANIMALS,13401.28,8120,1048,579,1.6530885122410546,606792
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,13399.690000000002,4547,870,390,2.951867881548975,339300
21166,COOK WITH WINE METAL SIGN ,13308.14,6672,1069,460,1.996873840445269,491740
20712,JUMBO BAG WOODLAND ANIMALS,13263.06,6647,825,370,2.0082874251497005,305250
22385,JUMBO BAG SPACEBOY DESIGN,13234.45,6653,887,394,2.0017817371937636,349478
22383,LUNCH BAG SUKI  DESIGN ,13217.0,8020,988,445,1.6490069513406156,439660
22726,ALARM CLOCK BAKELIKE GREEN,13141.5,3482,918,396,3.7852047413793106,363528
22149,FELTCRAFT 6 FLOWER FRIENDS,13124.39,6240,1111,655,2.106713656387665,727705
22961,JAM MAKING SET PRINTED,13080.82,8962,835,536,1.4739140811455846,447560
84970S,HANGING HEART ZINC T-LIGHT HOLDER,13080.179999999998,15387,1071,598,0.8576830398517145,640458
21930,JUMBO STORAGE BAG SKULLS,13048.08,6565,932,372,1.993033826638478,346704
21790,VINTAGE SNAP CARDS,12873.96,15066,1395,777,0.8554052149400986,1083915
22697,GREEN REGENCY TEACUP AND SAUCER,12851.240000000002,4340,808,441,2.9842787286063572,356328
20713,JUMBO BAG OWLS,12756.07,6436,811,356,1.996121951219512,288716
22835,HOT WATER BOTTLE I AM SO POORLY,12728.53,2665,724,423,4.8027922971114165,306252
21231,SWEETHEART CERAMIC TRINKET BOX,12700.97,10076,1058,474,1.26271719038817,501492
22865,HAND WARMER OWL DESIGN,12684.43,6031,919,535,2.1145114345114346,491665
22384,LUNCH BAG PINK POLKADOT,12588.7,7622,1050,499,1.6569859154929576,523950
72741,GRAND CHOCOLATECANDLE,12584.4,8736,723,466,1.4417355371900826,336918
22294,HEART FILIGREE DOVE  SMALL,12562.2,10068,648,399,1.2485946745562129,258552
22487,WHITE WOOD GARDEN PLANT LADDER,12539.96,1317,787,606,9.780747782002534,476922
22630,DOLLY GIRL LUNCH BOX,12347.439999999999,6336,878,410,1.965762331838565,359980
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,12337.880000000001,4172,913,420,2.9739914163090133,383460
22561,WOODEN SCHOOL COLOURING SET,12324.72,7468,793,537,1.6558199753390874,425841
23202,JUMBO BAG VINTAGE LEAF,12287.65,5915,718,360,2.094910344827586,258480
22113,GREY HEART HOT WATER BOTTLE,12182.85,3170,813,462,3.8899881093935793,375606
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,12175.789999999999,46529,836,466,0.2666547192353644,389576
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,12164.99,18743,989,502,0.6516450648055833,496478
21136,PAINTED METAL PEARS ASSORTED,12065.75,7135,674,436,1.6913929618768329,293864
23245,SET OF 3 REGENCY CAKE TINS,12033.34,2418,632,437,5.014377952755906,276184
22379,RECYCLING BAG RETROSPOT ,11836.28,5644,921,404,2.113193548387097,372084
22617,BAKING SET SPACEBOY DESIGN,11778.380000000001,2368,819,578,4.9970060606060605,473382
21212,PACK OF 72 RETRO SPOT CAKE CASES,11740.47,21369,1034,602,0.5497540208136235,622468
23201,JUMBO BAG ALPHABET,11706.52,5669,683,380,2.076244541484716,259540
15056N,EDWARDIAN PARASOL NATURAL,11633.960000000001,2007,650,306,5.880583717357911,198900
22296,HEART IVORY TRELLIS LARGE,11619.880000000001,7052,716,423,1.6528260869565217,302868
21212,PACK OF 72 RETROSPOT CAKE CASES,11585.8,21105,1246,745,0.5550314465408805,928270
22492,MINI PAINT SET VINTAGE ,11566.89,17829,502,327,0.6564143426294822,164154
21791,VINTAGE HEADS AND TAILS CARD GAME ,11487.37,9153,992,626,1.2630029732408323,620992
82600,NO SINGING METAL SIGN,11395.800000000001,5446,866,366,2.0951605504587154,316956
22585,PACK OF 6 BIRDY GIFT TAGS,11232.6,8981,871,590,1.2562376237623762,513890
22625,RED KITCHEN SCALES,11197.53,1318,706,425,8.505495750708215,300050
23206,LUNCH BAG APPLE DESIGN,11183.0,6780,807,386,1.6497557997557997,311502
79321,CHILLI LIGHTS,11168.75,2110,595,254,5.370569514237856,151130
48194,DOORMAT HEARTS,11109.01,1421,707,395,7.846864406779661,279265
22297,HEART IVORY TRELLIS SMALL,11091.16,8880,605,381,1.2529695024077048,230505
15056BL,EDWARDIAN PARASOL BLACK,11079.62,1940,624,290,5.854763406940063,180960
20971,PINK BLUE FELT CRAFT TRINKET BOX,10939.54,8752,943,482,1.262108559498956,454526
22558,CLOTHES PEGS RETROSPOT PACK 24 ,10923.68,7536,924,522,1.4782012847965738,482328
23355,HOT WATER BOTTLE KEEP CALM,10887.75,2201,594,413,4.948679867986799,245322
21915,RED  HARMONICA IN BOX ,10732.43,8527,774,445,1.2639487179487179,344430
48138,DOORMAT UNION FLAG,10712.65,1351,649,396,7.946866359447005,257004
22866,HAND WARMER SCOTTY DOG DESIGN,10688.1,5091,819,507,2.0997106481481485,415233
84029E,RED WOOLLY HOTTIE WHITE HEART.,10658.16,2770,775,463,3.8763520408163266,358825
22607,WOODEN ROUNDERS GARDEN SET ,10638.789999999999,1158,552,387,9.219027027027026,213624
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10634.000000000002,3608,667,334,2.9488217967599413,222778
23199,JUMBO BAG APPLES,10613.800000000001,5110,634,319,2.088953125,202246
22386,JUMBO BAG PINK WITH WHITE SPOTS,10561.2,5434,628,334,1.9478322784810127,209752
22427,ENAMEL FLOWER JUG CREAM,10530.730000000001,1769,635,434,5.958119122257053,275590
85150,LADIES & GENTLEMEN METAL SIGN,10500.0,4124,802,357,2.547769516728624,286314
22969,HOMEMADE JAM SCENTED CANDLES,10486.0,7232,534,448,1.4561423220973782,239232
22147,FELTCRAFT BUTTERFLY HEARTS,10483.199999999999,7232,965,564,1.459402390438247,544260
22383,LUNCH BAG SUKI DESIGN ,10473.4,6340,852,387,1.6585813148788928,329724
23203,JUMBO BAG VINTAGE DOILY ,10456.6,5030,565,337,2.079493006993007,190405
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10433.89,6293,960,571,1.666396761133603,548160
22867,HAND WARMER BIRD DESIGN,10426.93,4956,792,498,2.112029161603888,394416
22698,PINK REGENCY TEACUP AND SAUCER,10384.890000000001,3515,646,374,2.9781230769230773,241604
21485,RETROSPOT HEART HOT WATER BOTTLE,10344.08,2084,715,461,4.98732782369146,329615
47590B,PINK HAPPY BIRTHDAY BUNTING,10333.2,1896,694,408,5.45,283152
22555,PLASTERS IN TIN STRONGMAN,10297.04,6244,816,508,1.6514957780458384,414528
71459,HANGING JAM JAR T-LIGHT HOLDER,10278.59,12131,695,388,0.8483213773314203,269660
22560,TRADITIONAL MODELLING CLAY,10083.48,8023,583,398,1.2740840336134454,232034
21174,POTTERING IN THE SHED METAL SIGN,10045.51,5019,786,392,2.000276035131744,308112
22467,GUMBALL COAT RACK,9988.85,3932,770,382,2.560499359795134,294140
21481,FAWN BLUE HOT WATER BOTTLE,9983.12,3228,746,418,3.1431914893617026,311828
84406B,CREAM CUPID HEARTS COAT HANGER,9965.57,2995,634,300,3.407507836990596,190200
84946,ANTIQUE SILVER TEA GLASS ETCHED,9950.0,7960,653,381,1.25,248793
22197,SMALL POPCORN HOLDER,9930.8,11746,918,415,0.8484754797441365,380970
22507,MEMO BOARD RETROSPOT  DESIGN,9886.93,1995,696,434,4.966733524355301,302064
22295,HEART FILIGREE DOVE LARGE,9770.07,5927,593,377,1.6564262295081966,223561
21914,BLUE HARMONICA IN BOX ,9748.73,7731,756,431,1.269960988296489,325836
20749,ASSORTED COLOUR MINI CASES,9746.51,1225,616,387,7.961437802907916,238392
22568,FELTCRAFT CUSHION OWL,9737.74,2587,688,375,3.7870622286541247,258000
22413,METAL SIGN TAKE IT OR LEAVE IT ,9736.460000000001,3302,732,430,2.9562246278755078,314760
22621,TRADITIONAL KNITTING NANCY,9717.42,6154,681,490,1.5904584527220629,333690
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,9709.050000000001,10005,766,455,0.9794300518134715,348530
22553,PLASTERS IN TIN SKULLS,9619.65,5833,886,502,1.6497782705099777,444772
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,9613.65,1943,606,429,4.947704918032787,259974
22662,LUNCH BAG DOLLY GIRL DESIGN,9585.69,5805,830,411,1.65884661117717,341130
84378,SET OF 3 HEART COOKIE CUTTERS,9575.039999999999,7451,906,589,1.2943090315560393,533634
22084,PAPER CHAIN KIT EMPIRE,9562.85,3251,595,410,2.9460132890365447,243950
20711,JUMBO BAG TOYS ,9548.28,4876,618,313,1.9766505636070852,193434
23344,JUMBO BAG 50'S CHRISTMAS ,9449.880000000001,4551,523,367,2.085557655954631,191941
22499,WOODEN UNION JACK BUNTING,9438.380000000001,1583,545,406,5.961857923497267,221270
22728,ALARM CLOCK BAKELIKE PINK,9383.95,2494,691,347,3.785557142857143,239777
21314,SMALL GLASS HEART TRINKET POT,9300.66,4431,633,358,2.1051799687010955,226614
22464,HANGING METAL HEART LANTERN,9286.380000000001,5762,619,385,1.6285691573926866,238315
22384,LUNCH BAG PINK RETROSPOT,9263.7,5618,685,364,1.6494277539341917,249340
22505,MEMO BOARD COTTAGE DESIGN,9252.44,1868,612,388,4.959434571890146,237456
22087,PAPER BUNTING WHITE LACE,9249.550000000001,3151,547,298,2.9370766488413547,163006
21622,VINTAGE UNION JACK CUSHION COVER,9226.800000000001,1864,498,313,4.95,155874
21928,JUMBO BAG SCANDINAVIAN PAISLEY,9209.1,4738,626,314,1.9476265822784808,196564
21213,PACK OF 72 SKULL CAKE CASES,9146.859999999999,16642,1059,515,0.5498795180722892,545385
21390,FILIGRIS HEART WITH BUTTERFLY,9134.54,7322,455,272,1.2556900212314224,123760
20719,WOODLAND CHARLOTTE BAG,9047.74,10777,989,357,0.8497392176529588,353073
22082,RIBBON REEL STRIPES DESIGN ,9039.78,5458,800,506,1.6637728937728937,404800
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9025.94,3532,747,344,2.567842105263158,256968
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9021.08,3294,521,404,2.7517943925233648,210484
22652,TRAVEL SEWING KIT,9016.01,5469,683,432,1.6562068965517243,295056
20685,DOORMAT RED RETROSPOT,9001.58,1122,565,345,8.039187279151944,194925
22993,SET OF 4 PANTRY JELLY MOULDS,8999.94,7173,808,421,1.2669987849331714,340168
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8930.86,3010,669,373,3.003925925925926,249537
47566B,TEA TIME PARTY BUNTING,8922.75,1871,543,318,4.77568306010929,172674
48187,DOORMAT NEW ENGLAND,8900.44,1120,589,341,7.957038917089678,200849
22424,ENAMEL BREAD BIN CREAM,8898.96,697,489,287,12.774918367346938,140343
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,8857.27,1319,446,259,6.768878923766816,115514
22271,FELTCRAFT DOLL ROSIE,8811.670000000002,2989,658,391,2.961007518796993,257278
22090,PAPER BUNTING RETROSPOT,8799.740000000002,2982,550,349,2.9551171171171173,191950
22759,SET OF 3 NOTEBOOKS IN PARCEL,8792.28,5272,597,463,1.668727569331158,276411
21889,WOODEN BOX OF DOMINOES,8781.85,6976,822,575,1.2670595238095237,472650
82583,HOT BATHS METAL SIGN,8736.42,4168,717,312,2.097855191256831,223704
22633,HAND WARMER UNION JACK,8718.6,4166,716,442,2.094039735099338,316472
20679,EDWARDIAN PARASOL RED,8679.470000000001,1511,502,245,5.868528827037773,122990
21484,CHICK GREY HOT WATER BOTTLE,8631.42,2388,619,351,3.6503503184713377,217269
21908,CHOCOLATE THIS WAY METAL SIGN,8579.810000000001,4065,735,367,2.1218842530282642,269745
22090,PAPER BUNTING RETRO SPOTS,8546.150000000001,2897,525,340,2.95,178500
22622,BOX OF VINTAGE ALPHABET BLOCKS,8451.71,808,388,295,10.538615384615383,114460
22273,FELTCRAFT DOLL MOLLY,8444.44,2860,660,409,2.965761194029851,269940
22444,GROW YOUR OWN PLANT IN A CAN ,8435.44,6752,298,235,1.2493645484949834,70030
84992,72 SWEETHEART FAIRY CAKE CASES,8433.67,15336,1098,601,0.5554705364995602,659898
22158,3 HEARTS HANGING DECORATION RUSTIC,8430.16,2856,517,334,2.9707969639468694,172678
21165,BEWARE OF THE CAT METAL SIGN ,8424.32,5024,720,313,1.6815217391304347,225360
21164,HOME SWEET HOME METAL SIGN ,8423.29,2863,594,347,2.9441610738255033,206118
21936,RED RETROSPOT PICNIC BAG,8364.16,2828,620,341,2.967564102564103,211420
84375,SET OF 20 KIDS COOKIE CUTTERS,8344.92,4019,565,367,2.099877408056042,207355
22083,PAPER CHAIN KIT RETROSPOT,8320.960000000001,2812,513,351,2.9830232558139533,180063
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8302.67,9749,515,328,0.8547126436781609,168920
22722,SET OF 6 SPICE TINS PANTRY DESIGN,8290.9,2102,593,372,3.9483416252072967,220596
21535,RED RETROSPOT SMALL MILK JUG,8283.75,3257,685,369,2.5474212034383954,252765
47590A,BLUE HAPPY BIRTHDAY BUNTING,8283.67,1517,542,330,5.479502762430939,178860
21975,PACK OF 60 DINOSAUR CAKE CASES,8275.13,15017,1062,533,0.5569577205882353,566046
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,8274.45,6448,783,485,1.2994035532994923,379755
22627,MINT KITCHEN SCALES,8236.89,969,512,311,8.500760233918129,159232
22752,SET 7 BABUSHKA NESTING BOXES,8223.11,966,459,287,8.548179871520343,131733
15036,ASSORTED COLOURS SILK FAN,8222.2,10630,542,281,0.7751749539594843,152302
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8221.72,2138,628,354,3.8784161490683227,222312
21669,BLUE STRIPE CERAMIC DRAWER KNOB,8210.289999999999,6393,597,259,1.2960491803278689,154623
22193,RED DINER WALL CLOCK,8146.99,956,491,248,8.547942973523421,121768
22766,PHOTO FRAME CORNICE,8129.9800000000005,2754,557,338,2.960124777183601,188266
23284,DOORMAT KEEP CALM AND COME IN,8119.41,993,455,304,8.21621444201313,138320
22501,PICNIC BASKET WICKER LARGE,8116.4,817,434,322,9.930645161290322,139748
21623,VINTAGE UNION JACK MEMOBOARD,8109.249999999999,815,439,298,9.949999999999998,130822
22569,FELTCRAFT CUSHION BUTTERFLY,8103.67,2159,604,344,3.75605220228385,207776
21479,WHITE SKULL HOT WATER BOTTLE ,8071.5,2068,652,380,3.904422788605697,247760
22418,10 COLOUR SPACEBOY PEN,8061.0599999999995,9468,454,325,0.8636244541484716,147550
21907,I'M ON HOLIDAY METAL SIGN,8054.950000000001,3838,662,369,2.107245508982036,244278
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8023.24,9448,850,567,0.84976,481950
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8022.3,944,481,256,8.498232848232849,123136
23207,LUNCH BAG ALPHABET DESIGN,8012.41,4853,619,368,1.6578481012658228,227792
71053,WHITE METAL LANTERN,7942.84,2162,509,270,3.7181904761904763,137430
35970,ZINC FOLKART SLEIGH BELLS,7929.110000000001,4647,503,389,1.7274418604651163,195667
23203,JUMBO BAG DOILEY PATTERNS,7917.0,3835,409,282,2.0670631067961165,115338
21668,RED STRIPE CERAMIC DRAWER KNOB,7913.89,6181,579,252,1.2858361774744027,145908
22192,BLUE DINER WALL CLOCK,7912.88,931,472,244,8.50587737843552,115168
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,7884.7,6186,578,274,1.2760204081632651,158372
23301,GARDENERS KNEELING PAD KEEP CALM ,7881.57,4717,706,392,1.6658426966292135,276752
22649,STRAWBERRY FAIRY CAKE TEAPOT,7853.55,1587,382,189,4.948200514138818,72198
21524,DOORMAT SPOTTY HOME SWEET HOME,7851.07,983,513,310,8.037797270955167,159030
22169,FAMILY ALBUM WHITE PICTURE FRAME,7825.69,918,453,253,8.53401766004415,114609
22570,FELTCRAFT CUSHION RABBIT,7822.46,2085,601,335,3.7561423841059605,201335
22456,NATURAL SLATE CHALKBOARD LARGE ,7821.0,1580,519,367,4.95,190473
84987,SET OF 36 TEATIME PAPER DOILIES,7808.879999999999,5384,623,397,1.456395534290271,247331
21756,BATH BUILDING BLOCK WORD,7756.780000000001,1296,502,319,5.994811881188119,160138
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,7751.099999999999,5706,664,391,1.4281037037037037,259624
84949,SILVER HANGING T-LIGHT HOLDER,7721.25,4681,539,316,1.6492700729927006,170324
21868,POTTING SHED TEA MUG,7710.74,6142,690,367,1.275646551724138,253230
22488,NATURAL SLATE RECTANGLE CHALKBOARD,7701.71,4671,621,420,1.6566025641025641,260820
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,7669.54,3006,605,310,2.565140032948929,187550
22730,ALARM CLOCK BAKELIKE IVORY,7669.31,2048,570,283,3.753333333333333,161310
21429,RED GINGHAM ROSE JEWELLERY BOX,7592.7,4434,747,414,1.7171465968586386,309258
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,7588.21,2025,577,358,3.7607823129251705,206566
22191,IVORY DINER WALL CLOCK,7578.6,892,444,268,8.498098434004474,118992
22061,LARGE CAKE STAND  HANGING STRAWBERY,7575.799999999999,815,382,202,9.726892950391644,77164
84988,SET OF 72 PINK HEART PAPER DOILIES,7540.099999999999,5186,591,370,1.4623232323232322,218670
21172,PARTY METAL SIGN ,7530.12,5208,780,414,1.464422110552764,322920
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,7522.2,756,391,285,9.95,111435
22632,HAND WARMER RED RETROSPOT,7513.8,3578,600,393,2.1,235800
22355,CHARLOTTE BAG SUKI DESIGN,7509.25,8891,891,334,0.8550668151447661,297594
20723,STRAWBERRY CHARLOTTE BAG,7501.4,8868,932,345,0.8566382978723405,321540
22635,CHILDS BREAKFAST SET DOLLY GIRL ,7492.349999999999,753,387,294,9.95,113778
23084,RABBIT NIGHT LIGHT,7455.650000000001,3574,536,387,2.0902867383512547,207432
22952,60 CAKE CASES VINTAGE CHRISTMAS,7427.009999999999,13515,746,498,0.5498311688311689,371508
21218,RED SPOTTY BISCUIT TIN,7420.95,1985,497,291,3.7752694610778446,144627
21888,BINGO SET,7420.77,1967,590,428,3.793868243243243,252520
21974,SET OF 36 PAISLEY FLOWER DOILIES,7383.5599999999995,5080,545,349,1.4686630036630037,190205
21670,BLUE SPOT CERAMIC DRAWER KNOB,7368.99,5787,555,259,1.276625,143745
21912,VINTAGE SNAKES & LADDERS,7365.23,1949,583,433,3.7995042735042737,252439
22619,SET OF 6 SOLDIER SKITTLES,7349.2,1940,519,402,3.7922390891840605,208638
22636,CHILDS BREAKFAST SET CIRCUS PARADE,7344.0,864,397,274,8.5,108778
22634,CHILDS BREAKFAST SET SPACEBOY ,7343.099999999999,738,384,286,9.95,109824
21527,RED RETROSPOT TRADITIONAL TEAPOT ,7313.8,924,441,251,7.936129753914989,110691
22659,LUNCH BOX I LOVE LONDON,7310.12,3760,639,280,1.9576363636363636,178920
22694,WICKER STAR ,7296.6,3476,700,472,2.0996478873239437,330400
22741,FUNKY DIVA PEN,7290.669999999999,8569,183,129,0.8542622950819672,23607
23208,LUNCH BAG VINTAGE LEAF DESIGN,7285.85,4421,570,294,1.6493067590987869,167580
82582,AREA PATROLLED METAL SIGN,7268.460000000001,3462,618,251,2.1144070512820514,155118
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,7253.11,5691,525,260,1.278601134215501,136500
21671,RED SPOT CERAMIC DRAWER KNOB,7223.43,5679,532,263,1.2726728971962618,139916
22620,4 TRADITIONAL SPINNING TOPS,7208.08,5375,633,443,1.3532407407407407,280419
85099B,JUMBO BAG RED WHITE SPOTTY ,7206.6,3704,375,272,1.9476377952755903,102000
22605,WOODEN CROQUET GARDEN SET,7200.33,522,386,314,13.89360103626943,121204
21259,VICTORIAN SEWING BOX SMALL ,7200.06,1209,512,287,5.962690058479533,146944
48138,DOOR MAT UNION FLAG,7194.95,981,432,309,7.343533487297922,133488
23209,LUNCH BAG VINTAGE DOILY ,7129.66,4318,505,306,1.6548062015503875,154530
84946,ANTIQUE SILVER T-LIGHT GLASS,7124.18,5676,441,312,1.2632279909706547,137592
22367,CHILDRENS APRON SPACEBOY DESIGN,7120.889999999999,3655,683,441,1.973469387755102,301203
22502,PICNIC BASKET WICKER SMALL,7095.25,1356,472,307,5.285953878406708,144904
22623,BOX OF VINTAGE JIGSAW BLOCKS ,7073.320000000001,1345,456,314,5.351877729257643,143184
22750,FELTCRAFT PRINCESS LOLA DOLL,7070.55,1883,562,345,3.7677248677248683,193890
20724,RED RETROSPOT CHARLOTTE BAG,7023.3,8278,848,372,0.8562048894062864,315456
22549,PICTURE DOMINOES,7010.139999999999,4806,521,393,1.4835216572504708,204753
47591D,PINK FAIRY CAKE CHILDRENS APRON,7005.51,3583,644,380,1.9729800307219663,244720
22776,SWEETHEART CAKESTAND 3 TIER,6984.9,702,414,321,9.949999999999998,132894
22847,BREAD BIN DINER STYLE IVORY,6978.179999999999,410,320,214,17.045875,68480
22303,COFFEE MUG APPLES DESIGN,6963.91,2730,416,246,2.555779376498801,102336
21380,WOODEN HAPPY BIRTHDAY GARLAND,6960.150000000001,2357,501,314,2.964466403162055,157314
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,6942.5,5554,235,176,1.25,41360
22663,JUMBO BAG DOLLY GIRL DESIGN,6925.13,3462,502,261,2.0189065606361827,131022
